Date,Region,Latitude,Longitude,Population,Population_Density,Avg_Age,Poverty_Index,Rainfall_mm,Temperature,Humidity,AQI,Water_Quality,Vaccination_Coverage,Hospital_Access_km,Bed_Capacity,Doctor_Ratio,Mobility_Index,Mosquito_Index,Disease_Cases,Disease_Type,Mortality_Rate,Health_Posts,Misinformation_Index,Sentiment,Previous_Outbreak,Emergency_Response_Time,AI_Risk_Score,Risk_Level
2021-01-12,Kano,13.3893,4.6115,4293668,2222,20.5,0.11,53.0,25.0,34.7,72,73.2,49.2,5.2,1727,1.95,30.3,40.3,184,COVID-19,4.29,144,66.8,0.11,0,14.7,49.2,Medium
2021-01-13,Enugu,9.6091,4.3425,2926288,1717,38.8,0.69,275.0,35.1,64.4,74,48.9,91.5,25.5,209,2.26,82.9,91.8,308,Malaria,10.53,427,77.1,0.27,1,9.2,65.0,High
2021-01-14,Anambra,11.4948,14.1092,4684916,1263,23.2,0.16,171.9,18.8,54.8,248,88.0,82.9,25.9,1860,1.32,68.2,73.7,349,Cholera,7.45,451,78.0,0.77,1,10.2,83.7,Critical
2021-01-15,FCT,6.2292,10.9204,1554586,2771,26.8,0.28,313.0,26.2,75.6,198,44.2,84.0,8.4,1632,2.48,38.3,100,364,COVID-19,23.41,179,22.2,0.63,1,15.6,75.4,Critical
2021-01-16,Anambra,5.9008,3.5326,3402745,4442,27.6,0.52,132.5,18.6,89.6,76,88.4,34.1,28.9,563,0.23,59.7,74.8,322,Cholera,9.46,186,43.6,0.97,1,10.6,52.6,High
2021-01-17,Lagos,7.0387,5.5222,2819918,2621,35.3,0.61,265.4,20.5,91.2,139,59.3,44.4,12.5,844,2.47,55.4,100,388,Dengue,13.76,226,67.7,0.81,1,16.4,76.9,Critical
2021-01-18,Lagos,4.4621,14.8072,4338038,3926,31.4,0.77,317.5,37.2,80.0,178,67.3,26.7,15.7,1316,2.21,9.3,100,393,Lassa Fever,9.06,99,67.3,-0.55,0,17.4,71.2,High
2021-01-19,Delta,13.8789,10.1454,3271044,4099,38.9,0.89,159.9,21.0,76.8,238,76.8,79.3,23.2,238,2.75,21.9,84.4,349,Lassa Fever,10.67,218,5.0,-0.5,1,20.0,73.4,High
2021-01-20,Oyo,7.1971,9.4818,4645883,3702,21.0,0.23,358.9,32.9,62.3,76,81.6,79.4,25.3,587,2.7,52.1,100,341,Cholera,7.34,32,44.0,0.43,1,10.2,56.1,High
2021-01-21,Enugu,9.3822,11.8156,2825634,4495,35.6,0.9,186.4,19.2,86.6,109,69.3,91.5,17.7,1444,0.17,88.1,91.4,303,COVID-19,10.72,223,0.6,-0.3,1,11.9,63.4,High
2021-01-22,Rivers,4.5028,7.5492,3311970,2803,22.7,0.33,267.5,34.0,79.2,225,85.7,56.9,4.3,1294,1.92,90.7,100,333,Dengue,10.05,142,8.4,-0.14,0,18.2,78.7,Critical
2021-01-23,Kano,9.6397,5.6156,3586342,2116,33.4,0.77,334.0,27.4,80.9,23,50.1,99.0,10.8,1351,0.33,95.7,100,286,Lassa Fever,7.97,493,95.0,-0.6,0,18.1,54.5,High
2021-01-24,Anambra,12.0553,12.5547,1010771,1391,30.5,0.04,385.9,20.2,31.7,89,72.0,65.5,27.3,788,1.45,71.5,100,346,COVID-19,34.23,35,10.2,0.54,0,12.4,64.7,High
2021-01-25,Anambra,6.684,13.2206,2912454,153,36.3,0.09,339.8,34.4,37.2,102,92.9,70.2,24.9,1468,0.62,17.6,100,377,Cholera,12.94,384,61.6,0.84,1,11.4,71.7,High
2021-01-26,Enugu,8.8858,12.098,3229192,2805,33.2,0.65,11.5,35.0,42.4,64,69.4,48.0,8.1,592,3.09,70.1,19.6,100,Malaria,3.1,47,51.7,-0.62,0,7.4,29.0,Medium
2021-01-27,Rivers,5.9154,11.8633,3442362,2043,24.1,0.59,122.5,29.6,62.2,145,85.6,47.2,29.9,1147,1.22,70.3,57.1,272,Lassa Fever,7.9,144,23.1,0.44,1,23.5,64.8,High
2021-01-28,Borno,8.4047,5.2124,1678376,2476,19.1,0.94,91.0,21.6,31.0,146,68.7,30.0,1.8,131,1.98,69.7,30.8,277,Malaria,16.5,205,10.3,-0.98,1,12.1,52.9,High
2021-01-29,Anambra,4.6023,14.5213,4890404,489,20.2,0.76,60.7,34.2,94.5,31,77.5,98.5,4.0,1585,1.51,59.6,64.8,231,COVID-19,4.72,338,45.1,-0.11,1,2.4,40.4,Medium
2021-01-30,Anambra,10.6118,14.204,2062134,1473,27.4,0.54,220.8,21.1,57.8,186,78.9,66.9,9.1,494,1.08,28.3,91.3,275,COVID-19,13.34,423,68.7,0.85,0,3.8,69.3,High
2021-01-31,Lagos,4.9133,14.5429,550280,1409,36.4,0.58,317.1,29.9,86.0,245,97.0,42.8,4.2,1430,1.13,40.3,100,470,COVID-19,85.41,295,43.8,0.2,1,1.4,93.2,Critical
2021-02-01,Kaduna,10.6258,7.8054,1519606,3904,34.7,0.04,207.6,26.8,48.9,159,45.3,54.4,24.5,206,1.7,40.8,72.8,268,COVID-19,17.64,165,85.8,-0.34,0,3.2,68.1,High
2021-02-02,Kano,4.2887,10.5603,3440466,4265,35.6,0.71,330.0,18.0,89.1,128,58.6,52.6,6.0,760,2.22,49.8,100,380,Malaria,11.05,282,20.4,0.1,0,10.1,69.6,High
2021-02-03,Anambra,9.0824,13.5519,1934925,979,37.0,0.28,184.6,20.3,86.6,137,87.4,93.7,9.1,1464,1.03,83.5,99.0,274,Dengue,14.16,174,45.7,-0.71,0,22.5,56.8,High
2021-02-04,FCT,12.5601,7.9293,4309212,2238,25.0,0.47,328.2,23.7,50.3,160,94.8,65.8,20.0,1792,0.61,53.9,100,406,Dengue,9.42,197,45.5,-0.36,1,23.7,78.1,Critical
2021-02-05,Borno,11.8153,6.1803,1325951,4107,31.7,0.4,385.9,20.5,95.6,94,44.8,88.7,26.3,921,0.44,91.0,100,347,COVID-19,26.17,436,41.0,0.31,0,16.3,60.8,High
2021-02-06,Borno,5.6636,6.5936,4526348,3163,18.6,0.32,381.7,30.5,90.3,134,43.4,88.9,1.6,160,0.9,68.4,100,352,COVID-19,7.78,191,74.7,-0.13,0,10.6,79.6,Critical
2021-02-07,Lagos,12.9891,8.583,2098476,4401,24.3,0.55,164.8,31.6,42.2,54,44.4,26.2,26.2,1289,2.42,49.8,64.0,282,COVID-19,13.44,300,46.1,-0.49,0,7.5,47.2,Medium
2021-02-08,Lagos,13.1062,11.9421,3609361,2098,36.3,0.9,182.7,24.0,98.0,228,86.5,58.2,7.5,1191,1.32,29.6,98.6,348,Cholera,9.64,310,97.8,0.32,0,19.3,85.2,Critical
2021-02-09,Kaduna,7.2672,7.986,1887143,1607,22.4,0.79,248.4,31.6,79.0,178,92.6,73.8,4.5,218,3.17,64.6,97.8,395,COVID-19,20.93,271,3.3,-0.27,1,12.3,66.3,High
2021-02-10,Oyo,4.903,7.7349,2336125,1397,23.8,0.12,102.8,34.5,62.8,216,62.1,43.3,26.2,1667,0.49,96.3,49.9,305,COVID-19,13.06,299,86.0,0.45,0,9.5,85.6,Critical
2021-02-11,Lagos,7.0436,8.9115,3166146,937,20.1,0.89,269.9,27.4,72.1,153,48.1,45.9,18.5,1346,0.31,82.4,100,398,Dengue,12.57,189,64.9,-0.77,1,16.3,73.8,High
2021-02-12,Delta,13.017,10.7379,4581463,3483,19.3,0.28,234.9,32.5,90.2,177,98.1,27.8,14.9,855,3.29,28.0,100,392,Dengue,8.56,46,44.3,0.9,0,16.1,77.2,Critical
2021-02-13,Kaduna,12.5841,4.7363,229159,464,20.9,0.25,314.7,22.9,38.6,154,50.5,36.2,25.0,1155,0.8,21.6,100,418,Malaria,182.41,67,77.4,0.58,1,0.8,80.9,Critical
2021-02-14,Delta,7.0163,10.7201,2045914,4873,18.7,1.0,129.5,21.5,33.6,199,90.8,53.3,3.9,150,1.72,77.8,49.4,216,Dengue,10.56,351,45.2,-0.56,0,3.0,66.9,High
2021-02-15,Kano,12.5279,10.811,3770870,652,34.9,0.72,359.7,24.4,40.1,42,52.9,41.7,19.2,1143,2.52,38.1,100,373,Dengue,9.89,454,45.4,0.21,1,5.9,53.2,High
2021-02-16,Anambra,13.5662,9.7402,2893164,3765,32.7,0.41,159.5,32.6,51.3,90,92.4,72.5,11.5,332,2.44,47.4,57.3,203,Dengue,7.02,444,9.3,-0.81,0,22.0,40.4,Medium
2021-02-17,Anambra,10.1357,10.7124,481560,2406,18.6,0.93,240.2,25.0,69.3,64,89.8,32.2,14.7,1755,0.47,84.5,92.0,336,COVID-19,69.77,14,57.4,0.61,1,4.7,69.3,High
2021-02-18,Anambra,9.9622,13.6001,2641951,2833,21.4,0.75,140.4,21.6,39.7,178,43.0,51.7,4.7,1316,3.4,9.2,55.6,268,Malaria,10.14,139,42.0,-0.32,1,10.9,61.6,High
2021-02-19,Lagos,6.0442,14.3439,3606893,4028,34.9,0.76,242.8,26.3,44.7,141,57.4,29.0,13.2,600,2.41,59.3,83.6,406,Malaria,11.26,3,4.5,-0.21,1,12.2,71.0,High
2021-02-20,Enugu,6.8952,7.8604,3662596,1489,39.3,0.17,51.7,28.7,45.6,153,96.9,85.8,24.3,167,1.45,74.2,34.5,158,Dengue,4.31,425,92.1,0.72,1,16.7,58.8,High
2021-02-21,Oyo,7.511,14.4987,3085440,771,32.2,0.15,174.7,20.1,59.6,112,46.2,61.4,12.2,655,2.64,22.2,79.1,261,COVID-19,8.46,101,51.0,-0.77,0,4.6,52.6,High
2021-02-22,Kaduna,11.9633,10.097,1332364,667,25.7,0.07,70.9,33.5,63.6,203,67.7,64.5,17.6,1414,3.24,56.4,52.2,266,Malaria,19.96,29,86.4,0.25,1,9.2,69.9,High
2021-02-23,Lagos,8.5052,12.7316,2458176,678,36.4,0.98,257.9,37.5,36.1,162,45.1,60.1,14.1,1155,3.34,73.9,73.4,300,Cholera,12.2,20,32.2,-0.05,0,6.3,58.8,High
2021-02-24,Anambra,12.7328,7.0003,3722182,3649,30.8,0.14,209.6,30.2,54.7,244,61.0,42.3,12.6,712,2.41,5.2,82.4,381,Dengue,10.24,66,6.6,-0.81,1,14.5,75.2,Critical
2021-02-25,FCT,7.4173,12.1939,760674,2586,22.2,1.0,223.6,30.9,52.3,42,49.3,72.9,25.0,1533,3.49,91.2,73.9,262,COVID-19,34.44,432,50.8,-0.96,1,19.0,49.3,Medium
2021-02-26,Anambra,6.8493,11.9824,4308809,4471,27.9,0.53,334.0,35.7,32.6,96,58.6,89.2,18.7,1243,1.38,16.2,100,287,Dengue,6.66,462,72.1,-0.91,0,20.1,64.0,High
2021-02-27,Kano,11.114,9.1909,3135673,4722,20.7,0.08,393.8,27.2,49.2,107,49.6,59.7,12.9,351,2.88,80.1,100,423,Dengue,13.49,463,5.2,-0.04,1,12.6,68.2,High
2021-02-28,Rivers,5.376,6.4426,3719785,801,36.3,0.7,378.6,22.4,60.7,99,48.3,93.5,12.7,831,1.81,23.6,100,378,Dengue,10.16,229,22.5,-0.36,1,15.0,58.4,High
2021-03-01,Borno,9.9674,3.1972,714593,205,29.3,0.24,102.4,34.7,67.3,196,48.6,68.1,13.0,1609,1.08,30.1,50.2,276,Dengue,38.62,0,63.9,0.25,1,14.9,58.3,High
2021-03-02,Kano,7.448,11.7953,2067999,4724,31.8,0.77,166.6,31.3,35.8,102,84.1,25.3,16.0,1059,2.77,50.8,50.0,270,COVID-19,13.06,68,4.4,-0.23,1,1.5,46.0,Medium
2021-03-03,Lagos,7.156,6.7209,4630295,2823,26.8,0.82,325.4,21.5,83.0,128,68.4,97.5,14.6,393,2.86,6.3,100,370,Malaria,7.99,385,3.7,-0.6,1,15.7,63.0,High
2021-03-04,Kano,11.2708,3.9471,2450072,2974,31.3,0.82,344.9,19.0,74.6,79,72.7,29.8,11.4,1841,1.46,44.0,100,371,COVID-19,15.14,52,97.4,-0.01,1,2.4,71.7,High
2021-03-05,Rivers,13.5279,4.7134,2530007,2560,31.4,0.78,178.4,32.4,41.3,123,42.1,47.8,1.7,1801,3.2,61.5,64.0,263,Malaria,10.4,120,7.5,0.28,0,18.8,48.9,Medium
2021-03-06,Delta,7.8699,9.7401,3122985,3016,23.8,0.26,153.1,29.3,71.1,183,66.8,55.5,11.4,929,2.69,57.4,74.4,332,Lassa Fever,10.63,146,31.4,-0.44,1,16.8,63.6,High
2021-03-07,Kaduna,12.5136,11.5417,4170485,1689,38.4,0.64,49.1,35.1,60.7,240,87.6,76.4,29.9,1679,2.42,84.6,39.0,227,Lassa Fever,5.44,114,71.0,0.1,1,3.4,67.0,High
2021-03-08,Kano,5.2533,6.8043,1735945,1187,19.6,0.47,94.7,27.9,54.5,156,71.0,49.1,24.2,1149,0.54,88.4,42.3,217,Cholera,12.5,449,100.0,0.44,1,20.0,70.6,High
2021-03-09,Kano,6.5061,10.6207,4674668,4865,30.1,0.13,72.8,37.3,59.4,243,58.2,88.6,25.0,1081,0.62,16.5,44.4,184,Lassa Fever,3.94,47,34.6,0.88,0,12.3,59.5,High
2021-03-10,Anambra,10.3899,8.9765,1464620,4898,31.8,0.29,376.6,21.1,74.8,194,97.4,91.3,10.5,1912,2.02,82.5,100,342,Dengue,23.35,125,94.9,0.54,0,19.4,84.1,Critical
2021-03-11,Delta,5.0618,5.9009,3456551,2486,20.7,0.45,181.4,31.8,40.7,116,48.5,58.3,6.5,1262,0.59,86.1,62.1,299,Malaria,8.65,148,97.5,-0.74,1,22.7,68.7,High
2021-03-12,Anambra,7.529,3.6065,3557568,2083,28.9,0.88,385.1,36.0,85.3,249,79.3,65.6,9.7,1582,0.64,99.6,100,415,Dengue,11.67,146,49.7,-0.82,1,13.1,88.0,Critical
2021-03-13,Anambra,10.804,4.4257,951750,3580,39.5,0.39,53.6,23.3,54.9,113,87.7,48.9,12.3,1187,2.01,36.3,36.6,232,COVID-19,24.38,285,50.4,0.53,1,22.6,46.8,Medium
2021-03-14,Kaduna,9.9372,9.0878,1260202,1680,29.2,0.49,241.0,26.0,32.7,19,73.8,30.8,10.3,990,1.87,14.9,84.5,337,Dengue,26.74,417,32.8,0.23,0,0.9,52.6,High
2021-03-15,Anambra,11.7461,7.5623,2828639,947,36.1,0.24,392.0,29.7,84.2,195,74.4,88.9,19.1,1242,1.71,96.7,100,402,Malaria,14.21,97,72.1,0.17,0,0.9,83.0,Critical
2021-03-16,Borno,13.1212,7.1079,2681443,3480,25.8,0.77,60.6,31.8,57.9,208,83.3,68.3,14.4,1757,2.6,6.2,36.9,166,COVID-19,6.19,312,56.1,1.0,0,11.9,57.1,High
2021-03-17,Enugu,12.1838,14.4553,2117952,2335,35.7,0.29,223.2,22.5,96.2,86,57.3,80.9,21.3,1433,2.5,31.7,100,335,Malaria,15.82,177,28.8,0.15,1,22.2,57.0,High
2021-03-18,Rivers,4.0518,9.6042,2201207,3974,38.4,0.41,85.6,34.6,48.4,153,96.1,75.0,4.5,1280,2.62,23.9,36.6,139,Dengue,6.31,244,63.8,-0.9,0,15.8,37.6,Medium
2021-03-19,Enugu,11.8796,5.2357,2459586,2681,34.5,0.87,114.2,19.2,82.3,176,57.4,65.4,16.3,1500,2.99,3.7,78.1,329,Malaria,13.38,4,88.2,-0.65,1,7.5,77.4,Critical
2021-03-20,Kaduna,9.6778,12.0874,950103,2794,21.9,0.86,113.8,37.8,66.9,136,93.8,90.3,4.5,1052,1.69,19.3,54.2,182,Dengue,19.16,263,73.1,0.3,0,8.2,45.7,Medium
2021-03-21,Kano,8.6539,4.9166,3412432,831,33.1,0.92,73.9,20.8,52.0,73,93.3,20.5,11.8,934,2.66,95.4,40.5,209,COVID-19,6.12,353,26.2,-0.28,0,3.3,41.6,Medium
2021-03-22,Delta,11.0377,3.9372,2524954,3060,30.4,0.06,245.9,22.4,39.1,49,72.9,55.9,29.7,785,1.51,54.9,80.4,248,Lassa Fever,9.82,103,76.2,0.36,0,14.0,52.0,High
2021-03-23,Kaduna,11.2328,7.7514,1307052,1397,36.0,0.75,131.2,28.4,37.9,62,74.7,76.6,14.9,1860,1.84,80.9,50.8,194,Malaria,14.84,216,45.7,-0.88,1,8.6,43.8,Medium
2021-03-24,Kano,10.8273,10.9415,584856,4483,29.9,0.65,397.6,36.7,34.7,249,60.9,57.3,9.0,388,2.71,76.6,100,403,Cholera,68.91,275,37.4,0.78,1,9.7,84.6,Critical
2021-03-25,Kano,4.3222,10.9224,1118264,1874,31.5,0.94,333.9,33.1,96.5,128,93.3,73.2,16.6,1109,1.39,23.0,100,351,Cholera,31.39,105,27.6,0.87,0,2.1,65.0,High
2021-03-26,Oyo,6.369,13.5151,331658,3707,39.7,0.52,239.1,32.1,33.3,199,64.8,23.5,13.4,1125,0.84,86.4,67.6,351,COVID-19,105.83,31,23.4,0.83,1,13.6,78.5,Critical
2021-03-27,Kaduna,12.5754,4.7322,1519123,3549,28.2,0.06,222.3,18.9,53.4,174,64.8,73.0,23.7,672,2.47,40.8,78.3,273,Dengue,17.97,285,75.4,-0.05,0,13.0,71.1,High
2021-03-28,Borno,6.0889,13.8844,3308295,2039,24.7,0.91,102.0,24.6,35.4,125,52.7,86.9,3.2,1503,2.92,5.2,40.7,157,Cholera,4.75,492,87.4,-0.62,0,17.9,45.9,Medium
2021-03-29,Borno,11.6163,6.8428,4067479,2037,22.5,0.31,278.3,32.1,57.0,71,42.7,63.6,23.4,799,1.69,64.9,94.2,317,Cholera,7.79,379,51.3,-0.01,1,3.9,52.9,High
2021-03-30,Rivers,11.3277,7.2261,2237531,4582,21.1,0.55,373.9,29.6,58.4,49,51.0,35.5,7.3,1186,2.93,49.9,100,434,Lassa Fever,19.4,328,25.7,0.64,1,23.0,65.7,High
2021-03-31,Anambra,13.1275,10.9114,4445164,327,18.3,0.53,335.6,19.5,85.6,22,64.7,80.4,12.7,1745,2.24,6.8,100,291,Malaria,6.55,271,50.6,-0.25,0,17.5,47.3,Medium
2021-04-01,Anambra,6.4321,11.3668,4544096,2398,24.6,0.83,6.9,34.3,75.8,216,44.8,94.2,5.8,1900,0.43,14.9,33.5,164,Malaria,3.61,47,81.5,-0.47,1,10.0,53.5,High
2021-04-02,Anambra,8.755,3.5587,3213927,4577,19.6,0.93,190.4,30.7,77.8,31,94.0,59.5,13.3,1626,1.23,97.7,96.0,299,Lassa Fever,9.3,336,23.0,0.8,0,1.3,55.3,High
2021-04-03,Kano,9.0079,14.6919,2688088,178,19.2,0.44,384.6,29.7,81.2,192,90.3,84.9,27.9,632,0.65,24.0,100,368,COVID-19,13.69,309,67.7,0.08,1,18.6,80.6,Critical
2021-04-04,Kano,4.8204,4.8507,3377786,2723,33.7,0.63,11.9,23.5,97.5,135,84.4,38.0,16.8,788,1.57,68.0,54.9,248,COVID-19,7.34,184,77.2,-0.41,0,3.0,57.6,High
2021-04-05,Kano,11.2484,9.7144,93580,2575,39.8,0.24,177.9,33.2,37.0,32,71.3,34.8,13.7,1156,1.84,10.3,54.7,234,Dengue,250.05,86,59.7,0.57,0,3.8,39.9,Medium
2021-04-06,Enugu,7.3222,10.4423,2576072,2248,35.7,0.33,197.2,19.3,59.6,117,60.1,43.7,23.6,759,0.96,24.7,81.6,302,Lassa Fever,11.72,69,45.8,-0.73,0,7.6,49.4,Medium
2021-04-07,Delta,4.2692,11.7266,1734864,3974,38.7,0.21,125.7,37.3,95.9,84,87.9,78.1,19.2,1199,2.76,32.6,75.0,287,Malaria,16.54,419,36.5,0.86,1,20.4,46.5,Medium
2021-04-08,Delta,9.9382,13.9728,3482128,4140,20.4,0.25,55.7,24.1,47.2,49,79.9,76.5,23.8,171,1.63,59.8,39.2,237,Cholera,6.81,331,54.4,0.58,1,14.9,45.2,Medium
2021-04-09,Oyo,13.977,8.7933,4774634,3323,24.5,0.92,386.7,24.6,84.1,37,45.2,20.8,8.1,1065,2.64,55.8,100,387,Cholera,8.11,178,44.6,-0.22,0,7.8,62.4,High
2021-04-10,FCT,9.1599,9.6229,3869606,1744,25.3,0.43,208.4,25.0,36.6,194,67.7,75.0,9.9,634,0.25,71.1,60.9,265,Dengue,6.85,322,64.8,0.35,1,4.8,62.7,High
2021-04-11,Kano,6.6235,13.3516,3675006,3290,29.6,0.64,11.7,30.3,43.4,161,75.8,53.9,0.6,459,0.8,75.2,30.8,148,Lassa Fever,4.03,200,57.7,0.6,0,14.3,45.2,Medium
2021-04-12,Enugu,8.1824,4.6544,2968603,2933,26.4,0.19,338.2,30.3,85.3,190,78.1,83.2,27.6,1228,0.39,13.4,100,380,Cholera,12.8,284,11.7,-0.25,1,4.4,62.0,High
2021-04-13,Anambra,4.3086,12.1327,2472921,1199,24.4,0.27,74.8,34.8,72.1,231,72.3,48.4,0.8,299,0.76,38.4,56.0,292,Cholera,11.81,399,40.9,-0.02,1,11.2,62.8,High
2021-04-14,FCT,6.9771,14.9918,4204989,4553,27.9,0.35,204.3,29.5,48.2,149,89.0,85.0,11.3,1704,2.67,76.0,74.0,230,Dengue,5.47,443,99.0,-0.8,0,23.9,70.2,High
2021-04-15,Kaduna,6.8933,6.2081,2037647,1769,36.9,0.99,324.3,29.8,53.8,191,80.8,68.2,13.1,1281,0.57,20.7,100,350,Malaria,17.18,69,57.0,0.06,0,23.1,79.4,Critical
2021-04-16,Enugu,8.5199,10.6035,3502719,535,37.4,0.09,397.0,35.3,38.6,231,70.9,30.5,4.8,679,2.92,76.1,100,465,COVID-19,13.28,355,14.2,0.26,1,22.5,90.7,Critical
2021-04-17,Oyo,9.4731,4.5671,3145993,3774,36.8,0.79,380.1,24.5,30.2,208,93.6,86.9,3.2,958,2.26,69.7,100,397,Malaria,12.62,23,21.8,-0.14,1,2.8,83.9,Critical
2021-04-18,Rivers,4.5179,10.5073,3905251,183,34.0,0.76,49.7,35.2,60.0,10,65.8,98.4,13.1,1430,3.19,88.2,38.5,147,Malaria,3.76,360,9.3,-0.28,1,2.7,22.2,Low
2021-04-19,Kaduna,5.3713,12.2815,1840306,3956,34.6,0.13,31.2,29.9,65.3,123,99.6,20.7,21.0,1693,0.51,86.0,44.3,265,Cholera,14.4,35,7.1,-0.23,1,13.0,50.8,High
2021-04-20,Oyo,11.9108,5.9734,121091,1394,32.2,0.25,176.0,32.4,72.7,48,76.1,92.7,18.7,926,3.02,8.7,72.4,193,Lassa Fever,159.38,145,59.0,-0.23,0,18.8,45.1,Medium
2021-04-21,Oyo,5.3198,13.3298,275019,2521,30.5,0.37,82.2,30.1,42.8,110,81.0,43.3,2.1,1858,2.8,23.9,39.7,142,Dengue,51.63,488,50.0,0.19,0,23.7,45.7,Medium
2021-04-22,Anambra,5.5268,4.0032,662299,186,19.7,0.92,234.9,18.3,44.7,246,98.5,24.8,23.8,1057,1.07,71.3,86.4,414,Cholera,62.51,274,70.2,-0.84,1,8.2,92.5,Critical
2021-04-23,Delta,9.1722,12.8701,4969391,591,23.7,0.37,124.1,26.7,94.8,71,85.0,24.6,3.0,909,0.49,61.2,69.5,272,COVID-19,5.47,375,11.9,0.42,0,21.3,54.9,High
2021-04-24,Anambra,10.7412,4.384,296258,2794,34.3,0.0,322.8,23.4,34.3,192,91.5,97.0,19.0,1036,1.65,36.0,97.9,310,Malaria,104.64,125,36.8,-0.49,0,1.6,59.2,High
2021-04-25,Rivers,6.2319,9.1893,3103256,3187,19.0,0.4,368.1,21.6,95.3,19,92.6,63.7,27.5,1536,2.33,22.5,100,346,COVID-19,11.15,396,27.1,-0.84,1,20.4,56.2,High
2021-04-26,Rivers,4.0638,7.9204,2795599,757,23.1,0.35,221.2,18.2,43.6,154,90.4,82.0,22.3,516,1.68,59.2,77.0,283,Malaria,10.12,486,73.2,0.09,0,8.4,71.0,High
2021-04-27,Rivers,10.3722,7.7322,3206422,2569,31.0,0.06,41.6,28.6,46.2,135,79.7,95.9,29.2,311,2.52,9.3,41.9,185,Cholera,5.77,121,70.1,-0.26,1,7.4,40.7,Medium
2021-04-28,Oyo,13.6463,5.4916,2692486,3269,24.8,0.27,280.3,32.7,51.6,79,47.2,38.5,28.3,298,2.75,58.5,89.0,330,Cholera,12.26,413,45.0,-0.37,0,16.6,54.0,High
2021-04-29,Kano,12.039,4.6775,388310,1811,18.3,0.83,334.4,24.6,36.2,73,99.0,96.5,12.2,120,2.4,26.0,100,269,Cholera,69.27,101,95.2,0.71,0,19.9,50.0,Medium
2021-04-30,Anambra,8.3316,11.6932,3172573,738,28.9,0.38,232.9,23.2,85.3,15,65.6,98.8,6.3,1342,1.61,12.9,100,283,COVID-19,8.92,109,12.3,0.88,1,21.8,31.4,Medium
2021-05-01,Delta,11.9485,14.8728,2356714,2342,35.2,0.36,178.4,21.0,71.8,167,72.7,39.4,9.2,863,3.1,47.9,72.2,361,Dengue,15.32,176,13.7,-0.6,1,21.9,69.0,High
2021-05-02,Kaduna,9.3369,12.4948,4264380,2684,34.2,0.76,155.4,21.6,51.7,66,96.9,22.3,24.4,595,0.3,99.2,65.3,258,Lassa Fever,6.05,433,97.4,-0.8,0,23.6,64.6,High
